,Area,Element,Unit,Year,Value
1236,Finland,Yield,hg/ha,2004,27007.0
1237,Finland,Yield,hg/ha,2005,28503.0
1238,Finland,Yield,hg/ha,2006,30070.0
1239,Finland,Yield,hg/ha,2007,29033.0
1240,Finland,Yield,hg/ha,2008,34577.0
1241,Finland,Yield,hg/ha,2009,35407.0
1242,Finland,Yield,hg/ha,2010,31066.0
1243,Finland,Yield,hg/ha,2011,37696.0
1244,Finland,Yield,hg/ha,2012,41350.0
1245,Finland,Yield,hg/ha,2013,39244.0
1246,Finland,Yield,hg/ha,2014,39212.0
1247,Finland,Yield,hg/ha,2015,42678.0
1248,Finland,Yield,hg/ha,2016,33473.0
1249,Finland,Yield,hg/ha,2017,36448.0
1250,Finland,Yield,hg/ha,2018,15266.0
1251,Finland,Yield,hg/ha,2019,40500.0
1252,Finland,Production,tonnes,1961,3100.0
1253,Finland,Production,tonnes,1962,3100.0
1254,Finland,Production,tonnes,1963,3500.0
1255,Finland,Production,tonnes,1964,3500.0
1256,Finland,Production,tonnes,1965,3200.0
1257,Finland,Production,tonnes,1966,2200.0
1258,Finland,Production,tonnes,1967,4400.0
1259,Finland,Production,tonnes,1968,3600.0
1260,Finland,Production,tonnes,1969,2800.0
1261,Finland,Production,tonnes,1970,3000.0
1262,Finland,Production,tonnes,1971,3000.0
1263,Finland,Production,tonnes,1972,3000.0
1264,Finland,Production,tonnes,1973,3000.0
1265,Finland,Production,tonnes,1974,3900.0
1266,Finland,Production,tonnes,1975,3980.0
1267,Finland,Production,tonnes,1976,4070.0
1268,Finland,Production,tonnes,1977,3540.0
1269,Finland,Production,tonnes,1978,5220.0
1270,Finland,Production,tonnes,1979,4920.0
1271,Finland,Production,tonnes,1980,6120.0
1272,Finland,Production,tonnes,1981,12380.0
1273,Finland,Production,tonnes,1982,15610.0
1274,Finland,Production,tonnes,1983,15530.0
1275,Finland,Production,tonnes,1984,8466.0
1276,Finland,Production,tonnes,1985,10296.0
1277,Finland,Production,tonnes,1986,10225.0
1278,Finland,Production,tonnes,1987,7961.0
1279,Finland,Production,tonnes,1988,9202.0
1280,Finland,Production,tonnes,1989,9478.0
1281,Finland,Production,tonnes,1990,10722.0
1282,Finland,Production,tonnes,1991,9234.0
1283,Finland,Production,tonnes,1992,12074.0
1284,Finland,Production,tonnes,1993,8715.0
1285,Finland,Production,tonnes,1994,9200.0
1286,Finland,Production,tonnes,1995,8600.0
1287,Finland,Production,tonnes,1996,11955.0
1288,Finland,Production,tonnes,1997,10389.0
1289,Finland,Production,tonnes,1998,9163.0
1290,Finland,Production,tonnes,1999,10585.0
1291,Finland,Production,tonnes,2000,11910.0
1292,Finland,Production,tonnes,2001,13002.0
1293,Finland,Production,tonnes,2002,11597.0
1294,Finland,Production,tonnes,2003,7899.0
1295,Finland,Production,tonnes,2004,9593.0
1296,Finland,Production,tonnes,2005,10050.0
1297,Finland,Production,tonnes,2006,10377.0
1298,Finland,Production,tonnes,2007,9697.0
1299,Finland,Production,tonnes,2008,11151.0
1300,Finland,Production,tonnes,2009,11578.0
1301,Finland,Production,tonnes,2010,10286.0
1302,Finland,Production,tonnes,2011,12764.0
1303,Finland,Production,tonnes,2012,14150.0
1304,Finland,Production,tonnes,2013,13229.0
1305,Finland,Production,tonnes,2014,12940.0
1306,Finland,Production,tonnes,2015,14455.0
1307,Finland,Production,tonnes,2016,12000.0
1308,Finland,Production,tonnes,2017,13861.0
1309,Finland,Production,tonnes,2018,15510.0
1310,Finland,Production,tonnes,2019,17820.0
1311,France,Area harvested,ha,1961,1500.0
1312,France,Area harvested,ha,1962,1200.0
1313,France,Area harvested,ha,1963,1400.0
1314,France,Area harvested,ha,1964,1300.0
1315,France,Area harvested,ha,1965,1400.0
1316,France,Area harvested,ha,1966,1400.0
1317,France,Area harvested,ha,1967,1400.0
1318,France,Area harvested,ha,1968,1500.0
1319,France,Area harvested,ha,1969,1600.0
1320,France,Area harvested,ha,1970,8100.0
1321,France,Area harvested,ha,1971,7800.0
1322,France,Area harvested,ha,1972,7700.0
1323,France,Area harvested,ha,1973,8300.0
1324,France,Area harvested,ha,1974,8500.0
1325,France,Area harvested,ha,1975,8700.0
1326,France,Area harvested,ha,1976,8800.0
1327,France,Area harvested,ha,1977,8800.0
1328,France,Area harvested,ha,1978,9300.0
1329,France,Area harvested,ha,1979,9700.0
1330,France,Area harvested,ha,1980,8800.0
1331,France,Area harvested,ha,1981,8800.0
1332,France,Area harvested,ha,1982,9100.0
1333,France,Area harvested,ha,1983,9000.0
1334,France,Area harvested,ha,1984,8400.0
1335,France,Area harvested,ha,1985,8200.0
1336,France,Area harvested,ha,1986,8300.0
1337,France,Area harvested,ha,1987,8300.0
1338,France,Area harvested,ha,1988,6500.0
1339,France,Area harvested,ha,1989,6306.0
1340,France,Area harvested,ha,1990,6215.0
1341,France,Area harvested,ha,1991,5763.0
1342,France,Area harvested,ha,1992,5606.0
1343,France,Area harvested,ha,1993,5351.0
1344,France,Area harvested,ha,1994,5122.0
1345,France,Area harvested,ha,1995,4836.0
1346,France,Area harvested,ha,1996,4686.0
1347,France,Area harvested,ha,1997,4535.0
1348,France,Area harvested,ha,1998,4414.0
1349,France,Area harvested,ha,1999,4345.0
1350,France,Area harvested,ha,2000,3974.0
1351,France,Area harvested,ha,2001,3863.0
1352,France,Area harvested,ha,2002,3782.0
1353,France,Area harvested,ha,2003,3690.0
1354,France,Area harvested,ha,2004,3614.0
1355,France,Area harvested,ha,2005,3454.0
1356,France,Area harvested,ha,2006,3342.0
1357,France,Area harvested,ha,2007,3116.0
1358,France,Area harvested,ha,2008,3051.0
1359,France,Area harvested,ha,2009,2975.0
1360,France,Area harvested,ha,2010,3167.0
1361,France,Area harvested,ha,2011,3100.0
1362,France,Area harvested,ha,2012,3257.0
1363,France,Area harvested,ha,2013,3237.0
1364,France,Area harvested,ha,2014,3259.0
1365,France,Area harvested,ha,2015,3341.0
1366,France,Area harvested,ha,2016,3340.0
1367,France,Area harvested,ha,2017,3313.0
1368,France,Area harvested,ha,2018,3350.0
1369,France,Area harvested,ha,2019,3350.0
1370,France,Yield,hg/ha,1961,373600.0
1371,France,Yield,hg/ha,1962,354333.0
1372,France,Yield,hg/ha,1963,392357.0
1373,France,Yield,hg/ha,1964,434538.0
1374,France,Yield,hg/ha,1965,424786.0
1375,France,Yield,hg/ha,1966,428571.0
1376,France,Yield,hg/ha,1967,428214.0
1377,France,Yield,hg/ha,1968,382933.0
1378,France,Yield,hg/ha,1969,409500.0
1379,France,Yield,hg/ha,1970,80160.0
1380,France,Yield,hg/ha,1971,79551.0
1381,France,Yield,hg/ha,1972,78545.0
1382,France,Yield,hg/ha,1973,78434.0
1383,France,Yield,hg/ha,1974,83518.0
1384,France,Yield,hg/ha,1975,84415.0
1385,France,Yield,hg/ha,1976,77773.0
1386,France,Yield,hg/ha,1977,83855.0
1387,France,Yield,hg/ha,1978,86054.0
1388,France,Yield,hg/ha,1979,83635.0
1389,France,Yield,hg/ha,1980,91623.0
1390,France,Yield,hg/ha,1981,88295.0
1391,France,Yield,hg/ha,1982,96593.0
1392,France,Yield,hg/ha,1983,92000.0
1393,France,Yield,hg/ha,1984,105714.0
1394,France,Yield,hg/ha,1985,111098.0
1395,France,Yield,hg/ha,1986,110000.0
1396,France,Yield,hg/ha,1987,119518.0
1397,France,Yield,hg/ha,1988,127385.0
1398,France,Yield,hg/ha,1989,131732.0
1399,France,Yield,hg/ha,1990,139984.0
1400,France,Yield,hg/ha,1991,142391.0
1401,France,Yield,hg/ha,1992,136516.0
1402,France,Yield,hg/ha,1993,142459.0
1403,France,Yield,hg/ha,1994,145057.0
1404,France,Yield,hg/ha,1995,148689.0
1405,France,Yield,hg/ha,1996,157066.0
1406,France,Yield,hg/ha,1997,160714.0
1407,France,Yield,hg/ha,1998,150940.0
1408,France,Yield,hg/ha,1999,141185.0
1409,France,Yield,hg/ha,2000,150609.0
1410,France,Yield,hg/ha,2001,141802.0
1411,France,Yield,hg/ha,2002,136801.0
1412,France,Yield,hg/ha,2003,128518.0
1413,France,Yield,hg/ha,2004,148777.0
1414,France,Yield,hg/ha,2005,149169.0
1415,France,Yield,hg/ha,2006,150610.0
1416,France,Yield,hg/ha,2007,143495.0
1417,France,Yield,hg/ha,2008,144680.0
1418,France,Yield,hg/ha,2009,156918.0
1419,France,Yield,hg/ha,2010,163565.0
1420,France,Yield,hg/ha,2011,169294.0
1421,France,Yield,hg/ha,2012,170783.0
1422,France,Yield,hg/ha,2013,173102.0
1423,France,Yield,hg/ha,2014,180316.0
1424,France,Yield,hg/ha,2015,173304.0
1425,France,Yield,hg/ha,2016,179428.0
1426,France,Yield,hg/ha,2017,171775.0
1427,France,Yield,hg/ha,2018,162149.0
1428,France,Yield,hg/ha,2019,180030.0
1429,France,Production,tonnes,1961,56040.0
1430,France,Production,tonnes,1962,42520.0
1431,France,Production,tonnes,1963,54930.0
1432,France,Production,tonnes,1964,56490.0
1433,France,Production,tonnes,1965,59470.0
1434,France,Production,tonnes,1966,60000.0
1435,France,Production,tonnes,1967,59950.0
1436,France,Production,tonnes,1968,57440.0
1437,France,Production,tonnes,1969,65520.0
1438,France,Production,tonnes,1970,64930.0
1439,France,Production,tonnes,1971,62050.0
1440,France,Production,tonnes,1972,60480.0
1441,France,Production,tonnes,1973,65100.0
1442,France,Production,tonnes,1974,70990.0
1443,France,Production,tonnes,1975,73441.0
1444,France,Production,tonnes,1976,68440.0
1445,France,Production,tonnes,1977,73792.0
1446,France,Production,tonnes,1978,80030.0
1447,France,Production,tonnes,1979,81126.0
1448,France,Production,tonnes,1980,80628.0
1449,France,Production,tonnes,1981,77700.0
1450,France,Production,tonnes,1982,87900.0
1451,France,Production,tonnes,1983,82800.0
1452,France,Production,tonnes,1984,88800.0
1453,France,Production,tonnes,1985,91100.0
1454,France,Production,tonnes,1986,91300.0
1455,France,Production,tonnes,1987,99200.0
1456,France,Production,tonnes,1988,82800.0
1457,France,Production,tonnes,1989,83070.0
1458,France,Production,tonnes,1990,87000.0
1459,France,Production,tonnes,1991,82060.0
1460,France,Production,tonnes,1992,76531.0
1461,France,Production,tonnes,1993,76230.0
1462,France,Production,tonnes,1994,74298.0
1463,France,Production,tonnes,1995,71906.0
1464,France,Production,tonnes,1996,73601.0
1465,France,Production,tonnes,1997,72884.0
1466,France,Production,tonnes,1998,66625.0
1467,France,Production,tonnes,1999,61345.0
1468,France,Production,tonnes,2000,59852.0
1469,France,Production,tonnes,2001,54778.0
1470,France,Production,tonnes,2002,51738.0
1471,France,Production,tonnes,2003,47423.0
1472,France,Production,tonnes,2004,53768.0
1473,France,Production,tonnes,2005,51523.0
1474,France,Production,tonnes,2006,50334.0
1475,France,Production,tonnes,2007,44713.0
1476,France,Production,tonnes,2008,44142.0
1477,France,Production,tonnes,2009,46683.0
1478,France,Production,tonnes,2010,51801.0
1479,France,Production,tonnes,2011,52481.0
1480,France,Production,tonnes,2012,55624.0
1481,France,Production,tonnes,2013,56033.0
1482,France,Production,tonnes,2014,58765.0
1483,France,Production,tonnes,2015,57901.0
1484,France,Production,tonnes,2016,59929.0
1485,France,Production,tonnes,2017,56909.0
1486,France,Production,tonnes,2018,54320.0
1487,France,Production,tonnes,2019,60310.0
1488,Germany,Area harvested,ha,1985,9730.0
1489,Germany,Area harvested,ha,1986,9125.0
1490,Germany,Area harvested,ha,1987,10470.0
1491,Germany,Area harvested,ha,1988,9290.0
1492,Germany,Area harvested,ha,1989,9390.0
1493,Germany,Area harvested,ha,1990,8305.0
1494,Germany,Area harvested,ha,1991,5905.0
1495,Germany,Area harvested,ha,1992,5857.0
1496,Germany,Area harvested,ha,1993,6262.0
1497,Germany,Area harvested,ha,1994,6613.0
1498,Germany,Area harvested,ha,1995,7350.0
1499,Germany,Area harvested,ha,1996,8348.0
1500,Germany,Area harvested,ha,1997,8528.0
1501,Germany,Area harvested,ha,1998,8407.0
1502,Germany,Area harvested,ha,1999,9269.0
1503,Germany,Area harvested,ha,2000,9693.0
1504,Germany,Area harvested,ha,2001,9795.0
1505,Germany,Area harvested,ha,2002,9930.0
1506,Germany,Area harvested,ha,2003,10464.0
1507,Germany,Area harvested,ha,2004,11905.0
1508,Germany,Area harvested,ha,2005,13553.0
1509,Germany,Area harvested,ha,2006,14214.0
1510,Germany,Area harvested,ha,2007,13013.0
1511,Germany,Area harvested,ha,2008,13032.0
1512,Germany,Area harvested,ha,2009,12978.0
1513,Germany,Area harvested,ha,2010,13644.0
1514,Germany,Area harvested,ha,2011,13848.0
1515,Germany,Area harvested,ha,2012,15004.0
1516,Germany,Area harvested,ha,2013,15577.0
1517,Germany,Area harvested,ha,2014,15352.0
1518,Germany,Area harvested,ha,2015,14720.0
1519,Germany,Area harvested,ha,2016,14299.0
1520,Germany,Area harvested,ha,2017,14156.0
1521,Germany,Area harvested,ha,2018,14000.0
1522,Germany,Area harvested,ha,2019,13200.0
1523,Germany,Yield,hg/ha,1985,85740.0
1524,Germany,Yield,hg/ha,1986,87806.0
1525,Germany,Yield,hg/ha,1987,86192.0
1526,Germany,Yield,hg/ha,1988,89773.0
1527,Germany,Yield,hg/ha,1989,90584.0
1528,Germany,Yield,hg/ha,1990,89070.0
1529,Germany,Yield,hg/ha,1991,90576.0
1530,Germany,Yield,hg/ha,1992,94103.0
1531,Germany,Yield,hg/ha,1993,93429.0
1532,Germany,Yield,hg/ha,1994,89058.0
1533,Germany,Yield,hg/ha,1995,93578.0
1534,Germany,Yield,hg/ha,1996,92517.0
1535,Germany,Yield,hg/ha,1997,92492.0
1536,Germany,Yield,hg/ha,1998,96997.0
1537,Germany,Yield,hg/ha,1999,117840.0
1538,Germany,Yield,hg/ha,2000,107589.0
1539,Germany,Yield,hg/ha,2001,112435.0
1540,Germany,Yield,hg/ha,2002,106039.0
1541,Germany,Yield,hg/ha,2003,91053.0
1542,Germany,Yield,hg/ha,2004,100281.0
1543,Germany,Yield,hg/ha,2005,108094.0
1544,Germany,Yield,hg/ha,2006,121873.0
1545,Germany,Yield,hg/ha,2007,121923.0
1546,Germany,Yield,hg/ha,2008,115757.0
1547,Germany,Yield,hg/ha,2009,122178.0
1548,Germany,Yield,hg/ha,2010,115004.0
1549,Germany,Yield,hg/ha,2011,111509.0
1550,Germany,Yield,hg/ha,2012,103858.0
1551,Germany,Yield,hg/ha,2013,96090.0
1552,Germany,Yield,hg/ha,2014,109947.0
1553,Germany,Yield,hg/ha,2015,117249.0
1554,Germany,Yield,hg/ha,2016,100162.0
1555,Germany,Yield,hg/ha,2017,95566.0
1556,Germany,Yield,hg/ha,2018,101207.0
1557,Germany,Yield,hg/ha,2019,109076.0
1558,Germany,Production,tonnes,1961,27146.0
1559,Germany,Production,tonnes,1962,22700.0
1560,Germany,Production,tonnes,1963,34347.0
1561,Germany,Production,tonnes,1964,41536.0
1562,Germany,Production,tonnes,1965,47431.0
1563,Germany,Production,tonnes,1966,51080.0
1564,Germany,Production,tonnes,1967,54171.0
1565,Germany,Production,tonnes,1968,48458.0
1566,Germany,Production,tonnes,1969,44009.0
1567,Germany,Production,tonnes,1970,43069.0
1568,Germany,Production,tonnes,1971,35750.0
1569,Germany,Production,tonnes,1972,37929.0
1570,Germany,Production,tonnes,1973,38284.0
1571,Germany,Production,tonnes,1974,48374.0
1572,Germany,Production,tonnes,1975,53306.0
1573,Germany,Production,tonnes,1976,50684.0
1574,Germany,Production,tonnes,1977,53120.0
1575,Germany,Production,tonnes,1978,73572.0
1576,Germany,Production,tonnes,1979,74613.0
1577,Germany,Production,tonnes,1980,66981.0
1578,Germany,Production,tonnes,1981,73103.0
1579,Germany,Production,tonnes,1982,76497.0
1580,Germany,Production,tonnes,1983,79374.0
1581,Germany,Production,tonnes,1984,80008.0
1582,Germany,Production,tonnes,1985,83425.0
1583,Germany,Production,tonnes,1986,80123.0
1584,Germany,Production,tonnes,1987,90243.0
1585,Germany,Production,tonnes,1988,83399.0
1586,Germany,Production,tonnes,1989,85058.0
1587,Germany,Production,tonnes,1990,73973.0
1588,Germany,Production,tonnes,1991,53485.0
1589,Germany,Production,tonnes,1992,55116.0
1590,Germany,Production,tonnes,1993,58505.0
1591,Germany,Production,tonnes,1994,58894.0
1592,Germany,Production,tonnes,1995,68780.0
1593,Germany,Production,tonnes,1996,77233.0
1594,Germany,Production,tonnes,1997,78877.0
1595,Germany,Production,tonnes,1998,81545.0
1596,Germany,Production,tonnes,1999,109226.0
1597,Germany,Production,tonnes,2000,104286.0
1598,Germany,Production,tonnes,2001,110130.0
1599,Germany,Production,tonnes,2002,105297.0
1600,Germany,Production,tonnes,2003,95278.0
1601,Germany,Production,tonnes,2004,119384.0
1602,Germany,Production,tonnes,2005,146500.0
1603,Germany,Production,tonnes,2006,173230.0
1604,Germany,Production,tonnes,2007,158658.0
1605,Germany,Production,tonnes,2008,150854.0
1606,Germany,Production,tonnes,2009,158563.0
1607,Germany,Production,tonnes,2010,156911.0
1608,Germany,Production,tonnes,2011,154418.0
1609,Germany,Production,tonnes,2012,155828.0
1610,Germany,Production,tonnes,2013,149680.0
1611,Germany,Production,tonnes,2014,168791.0
1612,Germany,Production,tonnes,2015,172590.0
1613,Germany,Production,tonnes,2016,143221.0
1614,Germany,Production,tonnes,2017,135283.0
1615,Germany,Production,tonnes,2018,141690.0
1616,Germany,Production,tonnes,2019,143980.0
1617,Greece,Area harvested,ha,1961,400.0
1618,Greece,Area harvested,ha,1962,400.0
1619,Greece,Area harvested,ha,1963,400.0
1620,Greece,Area harvested,ha,1964,400.0
1621,Greece,Area harvested,ha,1965,400.0
1622,Greece,Area harvested,ha,1966,600.0
1623,Greece,Area harvested,ha,1967,600.0
1624,Greece,Area harvested,ha,1968,600.0
1625,Greece,Area harvested,ha,1969,600.0
1626,Greece,Area harvested,ha,1970,600.0
1627,Greece,Area harvested,ha,1971,600.0
1628,Greece,Area harvested,ha,1972,600.0
1629,Greece,Area harvested,ha,1973,600.0
1630,Greece,Area harvested,ha,1974,700.0
1631,Greece,Area harvested,ha,1975,700.0
1632,Greece,Area harvested,ha,1976,700.0
1633,Greece,Area harvested,ha,1977,700.0
1634,Greece,Area harvested,ha,1978,800.0
1635,Greece,Area harvested,ha,1979,800.0
1636,Greece,Area harvested,ha,1980,800.0
1637,Greece,Area harvested,ha,1981,1000.0
1638,Greece,Area harvested,ha,1982,900.0
1639,Greece,Area harvested,ha,1983,600.0
1640,Greece,Area harvested,ha,1984,800.0
1641,Greece,Area harvested,ha,1985,700.0
1642,Greece,Area harvested,ha,1986,500.0
1643,Greece,Area harvested,ha,1987,414.0
1644,Greece,Area harvested,ha,1988,400.0
1645,Greece,Area harvested,ha,1989,480.0
1646,Greece,Area harvested,ha,1990,499.0
1647,Greece,Area harvested,ha,1991,400.0
1648,Greece,Area harvested,ha,1992,400.0
1649,Greece,Area harvested,ha,1993,553.0
1650,Greece,Area harvested,ha,1994,524.0
1651,Greece,Area harvested,ha,1995,498.0
1652,Greece,Area harvested,ha,1996,500.0
1653,Greece,Area harvested,ha,1997,511.0
1654,Greece,Area harvested,ha,1998,494.0
1655,Greece,Area harvested,ha,1999,570.0
1656,Greece,Area harvested,ha,2000,487.0
1657,Greece,Area harvested,ha,2001,430.0
1658,Greece,Area harvested,ha,2002,387.0
1659,Greece,Area harvested,ha,2003,389.0
1660,Greece,Area harvested,ha,2004,358.0
1661,Greece,Area harvested,ha,2005,334.0
1662,Greece,Area harvested,ha,2006,322.0
1663,Greece,Area harvested,ha,2007,393.0
1664,Greece,Area harvested,ha,2008,354.0
1665,Greece,Area harvested,ha,2009,350.0
1666,Greece,Area harvested,ha,2010,374.0
1667,Greece,Area harvested,ha,2011,349.0
1668,Greece,Area harvested,ha,2012,290.0
1669,Greece,Area harvested,ha,2013,297.0
1670,Greece,Area harvested,ha,2014,1147.0
1671,Greece,Area harvested,ha,2015,5991.0
1672,Greece,Area harvested,ha,2016,1441.0
1673,Greece,Area harvested,ha,2017,1482.0
1674,Greece,Area harvested,ha,2018,1470.0
1675,Greece,Area harvested,ha,2019,1610.0
1676,Greece,Yield,hg/ha,1961,71950.0
1677,Greece,Yield,hg/ha,1962,77375.0
1678,Greece,Yield,hg/ha,1963,95850.0
1679,Greece,Yield,hg/ha,1964,126200.0
1680,Greece,Yield,hg/ha,1965,134750.0
1681,Greece,Yield,hg/ha,1966,85717.0
1682,Greece,Yield,hg/ha,1967,89500.0
1683,Greece,Yield,hg/ha,1968,82967.0
1684,Greece,Yield,hg/ha,1969,89333.0
1685,Greece,Yield,hg/ha,1970,92200.0
1686,Greece,Yield,hg/ha,1971,80167.0
1687,Greece,Yield,hg/ha,1972,107817.0
1688,Greece,Yield,hg/ha,1973,123800.0
1689,Greece,Yield,hg/ha,1974,105386.0
1690,Greece,Yield,hg/ha,1975,113786.0
1691,Greece,Yield,hg/ha,1976,125400.0
1692,Greece,Yield,hg/ha,1977,137314.0
1693,Greece,Yield,hg/ha,1978,148875.0
1694,Greece,Yield,hg/ha,1979,153938.0
1695,Greece,Yield,hg/ha,1980,170313.0
1696,Greece,Yield,hg/ha,1981,162780.0
1697,Greece,Yield,hg/ha,1982,120078.0
1698,Greece,Yield,hg/ha,1983,164383.0
1699,Greece,Yield,hg/ha,1984,120638.0
1700,Greece,Yield,hg/ha,1985,121157.0
1701,Greece,Yield,hg/ha,1986,89020.0
1702,Greece,Yield,hg/ha,1987,139614.0
1703,Greece,Yield,hg/ha,1988,157500.0
1704,Greece,Yield,hg/ha,1989,158333.0
1705,Greece,Yield,hg/ha,1990,172184.0
1706,Greece,Yield,hg/ha,1991,167500.0
1707,Greece,Yield,hg/ha,1992,192500.0
1708,Greece,Yield,hg/ha,1993,287776.0
1709,Greece,Yield,hg/ha,1994,172786.0
1710,Greece,Yield,hg/ha,1995,187651.0
1711,Greece,Yield,hg/ha,1996,233240.0
1712,Greece,Yield,hg/ha,1997,185656.0
1713,Greece,Yield,hg/ha,1998,187874.0
1714,Greece,Yield,hg/ha,1999,183421.0
1715,Greece,Yield,hg/ha,2000,191520.0
1716,Greece,Yield,hg/ha,2001,215186.0
1717,Greece,Yield,hg/ha,2002,226951.0
1718,Greece,Yield,hg/ha,2003,197429.0
1719,Greece,Yield,hg/ha,2004,217793.0
1720,Greece,Yield,hg/ha,2005,219521.0
1721,Greece,Yield,hg/ha,2006,217329.0
1722,Greece,Yield,hg/ha,2007,239669.0
1723,Greece,Yield,hg/ha,2008,279379.0
1724,Greece,Yield,hg/ha,2009,297629.0
1725,Greece,Yield,hg/ha,2010,300053.0
1726,Greece,Yield,hg/ha,2011,284327.0
1727,Greece,Yield,hg/ha,2012,252448.0
1728,Greece,Yield,hg/ha,2013,232828.0
1729,Greece,Yield,hg/ha,2014,488762.0
1730,Greece,Yield,hg/ha,2015,110265.0
1731,Greece,Yield,hg/ha,2016,536620.0
1732,Greece,Yield,hg/ha,2017,500391.0
1733,Greece,Yield,hg/ha,2018,403605.0
1734,Greece,Yield,hg/ha,2019,462298.0
1735,Greece,Production,tonnes,1961,2878.0
1736,Greece,Production,tonnes,1962,3095.0
1737,Greece,Production,tonnes,1963,3834.0
1738,Greece,Production,tonnes,1964,5048.0
1739,Greece,Production,tonnes,1965,5390.0
1740,Greece,Production,tonnes,1966,5143.0
1741,Greece,Production,tonnes,1967,5370.0
1742,Greece,Production,tonnes,1968,4978.0
1743,Greece,Production,tonnes,1969,5360.0
1744,Greece,Production,tonnes,1970,5532.0
1745,Greece,Production,tonnes,1971,4810.0
1746,Greece,Production,tonnes,1972,6469.0
1747,Greece,Production,tonnes,1973,7428.0
1748,Greece,Production,tonnes,1974,7377.0
1749,Greece,Production,tonnes,1975,7965.0
1750,Greece,Production,tonnes,1976,8778.0
1751,Greece,Production,tonnes,1977,9612.0
1752,Greece,Production,tonnes,1978,11910.0
1753,Greece,Production,tonnes,1979,12315.0
1754,Greece,Production,tonnes,1980,13625.0
1755,Greece,Production,tonnes,1981,16278.0
1756,Greece,Production,tonnes,1982,10807.0
1757,Greece,Production,tonnes,1983,9863.0
1758,Greece,Production,tonnes,1984,9651.0
1759,Greece,Production,tonnes,1985,8481.0
1760,Greece,Production,tonnes,1986,4451.0
1761,Greece,Production,tonnes,1987,5780.0
1762,Greece,Production,tonnes,1988,6300.0
1763,Greece,Production,tonnes,1989,7600.0
1764,Greece,Production,tonnes,1990,8592.0
1765,Greece,Production,tonnes,1991,6700.0
1766,Greece,Production,tonnes,1992,7700.0
1767,Greece,Production,tonnes,1993,15914.0
1768,Greece,Production,tonnes,1994,9054.0
1769,Greece,Production,tonnes,1995,9345.0
1770,Greece,Production,tonnes,1996,11662.0
1771,Greece,Production,tonnes,1997,9487.0
1772,Greece,Production,tonnes,1998,9281.0
1773,Greece,Production,tonnes,1999,10455.0
1774,Greece,Production,tonnes,2000,9327.0
1775,Greece,Production,tonnes,2001,9253.0
1776,Greece,Production,tonnes,2002,8783.0
1777,Greece,Production,tonnes,2003,7680.0
1778,Greece,Production,tonnes,2004,7797.0
1779,Greece,Production,tonnes,2005,7332.0
1780,Greece,Production,tonnes,2006,6998.0
1781,Greece,Production,tonnes,2007,9419.0
1782,Greece,Production,tonnes,2008,9890.0
1783,Greece,Production,tonnes,2009,10417.0
1784,Greece,Production,tonnes,2010,11222.0
1785,Greece,Production,tonnes,2011,9923.0
1786,Greece,Production,tonnes,2012,7321.0
1787,Greece,Production,tonnes,2013,6915.0
1788,Greece,Production,tonnes,2014,56061.0
1789,Greece,Production,tonnes,2015,66060.0
1790,Greece,Production,tonnes,2016,77327.0
1791,Greece,Production,tonnes,2017,74158.0
1792,Greece,Production,tonnes,2018,59330.0
1793,Greece,Production,tonnes,2019,74430.0
1794,Hungary,Area harvested,ha,1985,1850.0
1795,Hungary,Area harvested,ha,1986,1850.0
1796,Hungary,Area harvested,ha,1987,1850.0
1797,Hungary,Area harvested,ha,1988,1850.0
1798,Hungary,Area harvested,ha,1989,1850.0
1799,Hungary,Area harvested,ha,1990,1463.0
1800,Hungary,Area harvested,ha,1991,1929.0
1801,Hungary,Area harvested,ha,1992,1838.0
1802,Hungary,Area harvested,ha,1993,1563.0
1803,Hungary,Area harvested,ha,1994,1538.0
1804,Hungary,Area harvested,ha,1995,1319.0
1805,Hungary,Area harvested,ha,1996,2652.0
1806,Hungary,Area harvested,ha,1997,1900.0
1807,Hungary,Area harvested,ha,1998,1100.0
1808,Hungary,Area harvested,ha,1999,800.0
1809,Hungary,Area harvested,ha,2000,667.0
1810,Hungary,Area harvested,ha,2001,700.0
1811,Hungary,Area harvested,ha,2002,365.0
1812,Hungary,Area harvested,ha,2003,618.0
1813,Hungary,Area harvested,ha,2004,757.0
1814,Hungary,Area harvested,ha,2005,666.0
1815,Hungary,Area harvested,ha,2006,484.0
1816,Hungary,Area harvested,ha,2007,501.0
1817,Hungary,Area harvested,ha,2008,599.0
1818,Hungary,Area harvested,ha,2009,569.0
1819,Hungary,Area harvested,ha,2010,528.0
1820,Hungary,Area harvested,ha,2011,527.0
1821,Hungary,Area harvested,ha,2012,735.0
1822,Hungary,Area harvested,ha,2013,790.0
1823,Hungary,Area harvested,ha,2014,670.0
1824,Hungary,Area harvested,ha,2015,742.0
1825,Hungary,Area harvested,ha,2016,788.0
1826,Hungary,Area harvested,ha,2017,786.0
1827,Hungary,Area harvested,ha,2018,730.0
1828,Hungary,Area harvested,ha,2019,800.0
1829,Hungary,Yield,hg/ha,1985,88643.0
1830,Hungary,Yield,hg/ha,1986,75886.0
1831,Hungary,Yield,hg/ha,1987,70886.0
1832,Hungary,Yield,hg/ha,1988,76914.0
1833,Hungary,Yield,hg/ha,1989,85730.0
1834,Hungary,Yield,hg/ha,1990,107389.0
1835,Hungary,Yield,hg/ha,1991,77273.0
1836,Hungary,Yield,hg/ha,1992,75832.0
